Location,Cas0,Cas1,Cas2,Cas3,Cas3_0,Cas3_1,Cas4,Cas5
Maharashtra,92.5109% (87.99992%-96.320131%),89.1004% (83.82768%-94.005492%),88.5085% (83.04034%-93.572508%),85.4526% (78.85191%-91.282148%),14.4634% (13.56984%-15.290932%),70.9685% (65.28136%-75.991215%),74.3422% (68.59584%-79.417136%),67.7364% (62.50194%-72.359359%)
Manipur,90.4222% (84.04671%-95.186202%),86.3022% (77.56158%-91.913680%),84.9543% (75.72980%-90.993604%),82.4264% (72.20907%-89.246738%),12.5753% (11.20983%-13.469235%),69.8717% (60.99925%-75.777708%),69.7811% (61.12850%-75.556653%),64.8662% (56.82291%-70.234953%)
Meghalaya,91.2220% (84.21609%-95.897037%),87.1985% (77.67100%-93.696786%),85.9610% (75.61391%-93.051896%),83.6558% (71.66469%-91.764897%),13.0628% (11.49040%-14.140298%),70.6054% (60.17156%-77.610355%),70.4844% (60.37827%-77.318306%),63.3381% (54.25442%-69.480178%)
Nagaland,90.9108% (85.30680%-96.385904%),86.9345% (78.87867%-94.247884%),85.7553% (76.94053%-93.610286%),83.4534% (73.23277%-92.329722%),13.2853% (11.91968%-14.502168%),70.1603% (61.31309%-77.820595%),74.0379% (64.95996%-81.920796%),64.8823% (56.92082%-71.795258%)
Odisha,72.6812% (63.10527%-84.643252%),67.3402% (56.36218%-80.405635%),66.7289% (55.68064%-80.006510%),64.2933% (52.78988%-78.383017%),12.8952% (10.76014%-15.461047%),51.4298% (42.02975%-62.936870%),60.9009% (49.99615%-74.257014%),56.2491% (46.18303%-68.597879%)
Punjab,92.7549% (87.98636%-96.934848%),91.5921% (86.01860%-96.377306%),91.4698% (85.79843%-96.314924%),90.5707% (84.38109%-95.867870%),13.6432% (12.79730%-14.365896%),76.9287% (71.58379%-81.500501%),76.7878% (71.53833%-81.280246%),67.9014% (63.25924%-71.874152%)
Rajasthan,91.5654% (86.15482%-95.798479%),84.8454% (75.22766%-90.423378%),84.3048% (74.33098%-90.046425%),80.7425% (68.46894%-87.450149%),12.8823% (11.35821%-13.759624%),67.8744% (57.10852%-73.669785%),68.1816% (57.81310%-73.847142%),61.2437% (51.92727%-66.333750%)
Tamil Nadu,88.8002% (82.90563%-94.614181%),75.2667% (64.13744%-85.195029%),73.9125% (62.26124%-84.205367%),67.8971% (53.96646%-79.836440%),11.4384% (9.63527%-13.031245%),56.4761% (44.33119%-66.821985%),59.4914% (47.26559%-69.971195%),55.7450% (44.29822%-65.555827%)
Telangana,90.8234% (84.74846%-95.953582%),82.9184% (73.00462%-90.894722%),82.3085% (71.94165%-90.478612%),74.8000% (59.74547%-85.617167%),13.6816% (11.95839%-15.039670%),61.0918% (47.90043%-70.577498%),67.2864% (53.71859%-77.035257%),63.9980% (51.10331%-73.262854%)
Uttar Pradesh,88.0606% (83.09422%-94.097352%),82.3717% (76.06441%-89.829918%),81.6133% (75.07473%-89.267435%),78.3382% (70.79383%-86.834755%),12.6718% (11.65661%-13.860266%),65.6837% (59.17570%-72.974489%),67.4360% (60.93726%-74.753361%),58.7066% (53.04672%-65.078541%)
Uttarakhand,89.5578% (82.68881%-95.704330%),86.3249% (77.94456%-93.841290%),85.7916% (77.12158%-93.559085%),83.4173% (73.44984%-92.253546%),12.9983% (11.68469%-14.175141%),70.4144% (61.74558%-78.067388%),71.6287% (63.06203%-79.223517%),66.3326% (58.40113%-73.364172%)
West Bengal,88.0989% (80.31568%-94.383664%),85.0635% (75.39407%-92.194381%),84.9214% (75.18063%-92.102527%),83.5638% (72.97050%-91.273535%),12.8633% (11.38787%-13.951084%),70.7025% (61.58060%-77.334873%),71.9950% (62.86253%-78.641217%),67.0118% (58.51272%-73.197168%)
